pfam03288	EukaryoticVirus
pfam05087	EukaryoticVirus
pfam00901	EukaryoticVirus
pfam00898	EukaryoticVirus
pfam04582	EukaryoticVirus
pfam05708	EukaryoticVirus
pfam03276	EukaryoticVirus
pfam01057	EukaryoticVirus
pfam06317	EukaryoticVirus
pfam04513	EukaryoticVirus
pfam05541	EukaryoticVirus
pfam05314	EukaryoticVirus
pfam01443	EukaryoticVirus
pfam02459	EukaryoticVirus
pfam00242	EukaryoticVirus
pfam00910	EukaryoticVirus
pfam08706	EukaryoticVirus
pfam05518	EukaryoticVirus
pfam00799	Plantvirus
pfam01690	Plantvirus
pfam07236	Plantvirus
pfam10439	Bacteriocin
pfam11725	Pathogenicityfactor
pfam05272	Pathogenicityfactor
pfam00419	Pathogenicityfactor
pfam00652	Pathogenicityfactor
pfam09643	Pathogenicityfactor
pfam05973	Pathogenicityfactor
pfam00144	Lactamase
pfam00753	Lactamase
pfam00078	ReverseTranscriptase
pfam00075	RNaseH
pfam05183	RdRP
